name,dir,Electrical machinery & equipment,Machinery & mechanical appliances,Other,Vehicles,Aluminium & articles thereof,Copper & articles thereof,Mineral fuels & oil,Raw metals,Wood & articles of wood; charcoal
2009,Export,2.54402,2.5656890000000003,12.029766,0.37429599999999996,0,0,0,0,0
2010,Export,4.436981,4.891417,19.314275,0.969401,0,0,0,0,0
2011,Export,5.329919,7.231969,24.21737,2.1237600000000003,0,0,0,0,0
2012,Export,5.941755000000001,8.506174,26.76221,2.846412,0,0,0,0,0
2013,Export,6.818263,8.034678,32.09472,2.6435109999999997,0,0,0,0,0
2014,Export,7.893814,7.889034,35.533031,2.361065,0,0,0,0,0
2015,Export,5.136277,5.2351030000000005,23.304374,1.134152,0,0,0,0,0
2016,Export,5.451626999999999,7.769976000000001,23.02657,1.257886,0,0,0,0,0
2017,Export,7.441962999999999,8.695373,25.365289,1.647158,0,0,0,0,0
2018,Export,9.333815999999999,8.912665,27.99538,1.763342,0,0,0,0,0
2019,Export,9.472862,9.306271,28.811931,2.157423,0,0,0,0,0
2020,Export,10.703762000000001,10.183209,27.493949,2.1234719999999996,0,0,0,0,0
2021,Export,14.094442,14.703876,34.469193,4.282544,0,0,0,0,0
2022,Export,13.331188999999998,16.880395999999998,39.614798,6.296266,0,0,0,0,0
2023,Export,17.096863,25.257445,46.192822,22.510085999999998,0,0,0,0,0
2024,Export,15.964773,27.320031999999998,46.731873,25.486394,0,0,0,0,0
2025,Export,6.635147893999999,12.827931188,22.660952748,5.036378919,0,0,0,0,0
2009,Import,0,0,7.58505,0,0.6353,0.254251,9.386241,1.059342,2.362768
2010,Import,0,0,8.454943,0,0.222857,0.415827,12.848398,1.214256,2.757715
2011,Import,0,0,10.07715,0,0.286246,0.24043699999999998,22.922651000000002,3.348216,3.487897
2012,Import,0,0,8.455844,0,0.387437,0.388777,29.522429000000002,2.474926,2.908866
2013,Import,0,0,7.434769,0,0.244996,0.178966,26.880079,2.102158,2.82686
2014,Import,0,0,7.177577,0,0.15499300000000002,0.174179,29.719175999999997,1.205244,3.162337
2015,Import,0,0,8.266276,0,0.04761699999999999,0.647748,20.023150843285,0.906234,3.125938
2016,Import,0,0,8.152997,0,0.053369,0.447295,18.860684274119,0.8818790000000001,3.68096
2017,Import,0,0,7.84398,0,0.070306,0.427525,27.265896999894,1.255853,4.471862000000001
2018,Import,0,0,8.712645,0,0.16777999999999998,1.6598910000000002,42.143246369733006,1.542583,4.692095
2019,Import,0,0,10.18538,0,0.085234,1.651919,42.555542597527,2.233209,4.279737
2020,Import,0,0,13.07387,0,0.7826700000000001,2.798791,33.505527230978004,3.525427,3.7093350000000003
2021,Import,0,0,12.722948,0,0.811632,3.913717,53.478832235649996,4.263146,4.053764999999999
2022,Import,0,0,17.2136,0,1.374888,2.944393,85.083790442798,3.640316,3.597637
2023,Import,0,0,20.811151,0,2.866654,3.214646,94.281101977795,4.405594,3.150922
2024,Import,0,0,19.034077,0,3.579939,3.0009309999999996,94.792642038342,5.467077,3.16482
2025,Import,0,0,9.422658422,0,3.101757591,2.666388536,38.96671698,3.6653870139999998,1.5053233990000003
