subcat,name,value,cat,dir
computers and processors,2009,0.491981,Machinery & mechanical appliances,Export
computers and processors,2010,1.555353,Machinery & mechanical appliances,Export
computers and processors,2011,1.866672,Machinery & mechanical appliances,Export
computers and processors,2012,2.5046489999999997,Machinery & mechanical appliances,Export
computers and processors,2013,1.915402,Machinery & mechanical appliances,Export
computers and processors,2014,1.711759,Machinery & mechanical appliances,Export
computers and processors,2015,1.181071,Machinery & mechanical appliances,Export
computers and processors,2016,1.242648,Machinery & mechanical appliances,Export
computers and processors,2017,1.675606,Machinery & mechanical appliances,Export
computers and processors,2018,2.236009,Machinery & mechanical appliances,Export
computers and processors,2019,2.065226,Machinery & mechanical appliances,Export
computers and processors,2020,2.6800129999999998,Machinery & mechanical appliances,Export
computers and processors,2021,3.301539,Machinery & mechanical appliances,Export
computers and processors,2022,2.931464,Machinery & mechanical appliances,Export
computers and processors,2023,2.9167959999999997,Machinery & mechanical appliances,Export
computers and processors,2024,3.172777,Machinery & mechanical appliances,Export
computers and processors,2025,0.950938202,Machinery & mechanical appliances,Export
Self-propelled construction machines,2009,0.05155,Machinery & mechanical appliances,Export
Self-propelled construction machines,2010,0.172344,Machinery & mechanical appliances,Export
Self-propelled construction machines,2011,0.385067,Machinery & mechanical appliances,Export
Self-propelled construction machines,2012,0.5581929999999999,Machinery & mechanical appliances,Export
Self-propelled construction machines,2013,0.485391,Machinery & mechanical appliances,Export
Self-propelled construction machines,2014,0.358088,Machinery & mechanical appliances,Export
Self-propelled construction machines,2015,0.10487300000000001,Machinery & mechanical appliances,Export
Self-propelled construction machines,2016,0.132267,Machinery & mechanical appliances,Export
Self-propelled construction machines,2017,0.305347,Machinery & mechanical appliances,Export
Self-propelled construction machines,2018,0.342285,Machinery & mechanical appliances,Export
Self-propelled construction machines,2019,0.382827,Machinery & mechanical appliances,Export
Self-propelled construction machines,2020,0.362781,Machinery & mechanical appliances,Export
Self-propelled construction machines,2021,0.852025,Machinery & mechanical appliances,Export
Self-propelled construction machines,2022,1.7067539999999999,Machinery & mechanical appliances,Export
Self-propelled construction machines,2023,2.448218,Machinery & mechanical appliances,Export
Self-propelled construction machines,2024,2.152353,Machinery & mechanical appliances,Export
Self-propelled construction machines,2025,0.7110937249999999,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2009,0.207793,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2010,0.353877,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2011,0.45226799999999995,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2012,0.5339550000000001,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2013,0.551196,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2014,0.598831,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2015,0.468023,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2016,0.44794,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2017,0.5255599999999999,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2018,0.621035,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2019,0.655172,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2020,0.670917,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2021,0.840474,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2022,1.042455,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2023,1.371827,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2024,1.388327,Machinery & mechanical appliances,Export
Valves and taps for pipes and tanks,2025,0.716358524,Machinery & mechanical appliances,Export
Special-purpose machines,2009,0.01337,Machinery & mechanical appliances,Export
Special-purpose machines,2010,0.035931,Machinery & mechanical appliances,Export
Special-purpose machines,2011,0.097166,Machinery & mechanical appliances,Export
Special-purpose machines,2012,0.127817,Machinery & mechanical appliances,Export
Special-purpose machines,2013,0.08971,Machinery & mechanical appliances,Export
Special-purpose machines,2014,0.120904,Machinery & mechanical appliances,Export
Special-purpose machines,2015,0.092424,Machinery & mechanical appliances,Export
Special-purpose machines,2016,0.5161870000000001,Machinery & mechanical appliances,Export
Special-purpose machines,2017,0.32769600000000004,Machinery & mechanical appliances,Export
Special-purpose machines,2018,0.16886099999999998,Machinery & mechanical appliances,Export
