dir,cat,name,value
Export,Machinery & mechanical appliances,2009,2.565689
Export,Machinery & mechanical appliances,2010,4.891417
Export,Machinery & mechanical appliances,2011,7.231969
Export,Machinery & mechanical appliances,2012,8.506174
Export,Machinery & mechanical appliances,2013,8.034678
Export,Machinery & mechanical appliances,2014,7.889034
Export,Machinery & mechanical appliances,2015,5.235103
Export,Machinery & mechanical appliances,2016,7.769976
Export,Machinery & mechanical appliances,2017,8.695373
Export,Machinery & mechanical appliances,2018,8.912665
Export,Machinery & mechanical appliances,2019,9.306271
Export,Machinery & mechanical appliances,2020,10.183209
Export,Machinery & mechanical appliances,2021,14.703876
Export,Machinery & mechanical appliances,2022,16.880396
Export,Machinery & mechanical appliances,2023,25.257445
Export,Machinery & mechanical appliances,2024,27.320032
Export,Machinery & mechanical appliances,2025,12.827931188
Export,Vehicles,2009,0.374296
Export,Vehicles,2010,0.969401
Export,Vehicles,2011,2.12376
Export,Vehicles,2012,2.846412
Export,Vehicles,2013,2.643511
Export,Vehicles,2014,2.361065
Export,Vehicles,2015,1.134152
Export,Vehicles,2016,1.257886
Export,Vehicles,2017,1.647158
Export,Vehicles,2018,1.763342
Export,Vehicles,2019,2.157423
Export,Vehicles,2020,2.123472
Export,Vehicles,2021,4.282544
Export,Vehicles,2022,6.296266
Export,Vehicles,2023,22.510086
Export,Vehicles,2024,25.486394
Export,Vehicles,2025,5.036378919
Export,Electrical machinery & equipment,2009,2.54402
Export,Electrical machinery & equipment,2010,4.436981
Export,Electrical machinery & equipment,2011,5.329919
Export,Electrical machinery & equipment,2012,5.941755
Export,Electrical machinery & equipment,2013,6.818263
Export,Electrical machinery & equipment,2014,7.893814
Export,Electrical machinery & equipment,2015,5.136277
Export,Electrical machinery & equipment,2016,5.451627
Export,Electrical machinery & equipment,2017,7.441963
Export,Electrical machinery & equipment,2018,9.333816
Export,Electrical machinery & equipment,2019,9.472862
Export,Electrical machinery & equipment,2020,10.703762
Export,Electrical machinery & equipment,2021,14.094442
Export,Electrical machinery & equipment,2022,13.331189
Export,Electrical machinery & equipment,2023,17.096863
Export,Electrical machinery & equipment,2024,15.964773
Export,Electrical machinery & equipment,2025,6.635147894
Export,Other,2009,12.029766
Export,Other,2010,19.314275
Export,Other,2011,24.21737
Export,Other,2012,26.76221
Export,Other,2013,32.09472
Export,Other,2014,35.533031
Export,Other,2015,23.304374
Export,Other,2016,23.02657
Export,Other,2017,25.365289
Export,Other,2018,27.99538
Export,Other,2019,28.811931
Export,Other,2020,27.493949
Export,Other,2021,34.469193
Export,Other,2022,39.614798
Export,Other,2023,46.192822
Export,Other,2024,46.731873
Export,Other,2025,22.660952748
Import,Mineral fuels & oil,2009,9.386241
Import,Mineral fuels & oil,2010,12.848398
Import,Mineral fuels & oil,2011,22.922651
Import,Mineral fuels & oil,2012,29.522428
Import,Mineral fuels & oil,2013,26.880079
Import,Mineral fuels & oil,2014,29.719175
Import,Mineral fuels & oil,2015,20.222797
Import,Mineral fuels & oil,2016,18.914638
Import,Mineral fuels & oil,2017,27.282395
Import,Mineral fuels & oil,2018,42.112072
Import,Mineral fuels & oil,2019,42.755153
Import,Mineral fuels & oil,2020,33.224576
Import,Mineral fuels & oil,2021,52.377137
Import,Mineral fuels & oil,2022,85.378138
Import,Mineral fuels & oil,2023,94.035767
Import,Mineral fuels & oil,2024,94.823797
Import,Mineral fuels & oil,2025,38.96671698
Import,Raw metals,2009,1.059343
Import,Raw metals,2010,1.214255
Import,Raw metals,2011,3.348218
Import,Raw metals,2012,2.474927
Import,Raw metals,2013,2.102158
Import,Raw metals,2014,1.205244
Import,Raw metals,2015,0.906234
Import,Raw metals,2016,0.88188
Import,Raw metals,2017,1.255853
Import,Raw metals,2018,1.542583
Import,Raw metals,2019,2.233209
Import,Raw metals,2020,3.525425
Import,Raw metals,2021,4.263146
Import,Raw metals,2022,3.640316
Import,Raw metals,2023,4.405595
Import,Raw metals,2024,5.467078
Import,Raw metals,2025,3.665387014
Import,Copper & articles thereof,2009,0.254251
Import,Copper & articles thereof,2010,0.415827
Import,Copper & articles thereof,2011,0.240437
Import,Copper & articles thereof,2012,0.388777
Import,Copper & articles thereof,2013,0.178966
Import,Copper & articles thereof,2014,0.174179
Import,Copper & articles thereof,2015,0.647748
Import,Copper & articles thereof,2016,0.447295
Import,Copper & articles thereof,2017,0.427525
Import,Copper & articles thereof,2018,1.659891
Import,Copper & articles thereof,2019,1.651919
Import,Copper & articles thereof,2020,2.798791
Import,Copper & articles thereof,2021,3.913717
Import,Copper & articles thereof,2022,2.944393
Import,Copper & articles thereof,2023,3.214646
Import,Copper & articles thereof,2024,3.000931
Import,Copper & articles thereof,2025,2.666388536
Import,Aluminium & articles thereof,2009,0.6353
Import,Aluminium & articles thereof,2010,0.222857
Import,Aluminium & articles thereof,2011,0.286246
Import,Aluminium & articles thereof,2012,0.387437
Import,Aluminium & articles thereof,2013,0.244996
Import,Aluminium & articles thereof,2014,0.154993
Import,Aluminium & articles thereof,2015,0.047617
Import,Aluminium & articles thereof,2016,0.053369
Import,Aluminium & articles thereof,2017,0.070306
Import,Aluminium & articles thereof,2018,0.16778
Import,Aluminium & articles thereof,2019,0.085234
Import,Aluminium & articles thereof,2020,0.78267
Import,Aluminium & articles thereof,2021,0.811632
Import,Aluminium & articles thereof,2022,1.374888
Import,Aluminium & articles thereof,2023,2.866654
Import,Aluminium & articles thereof,2024,3.579939
Import,Aluminium & articles thereof,2025,3.101757591
Import,Wood & articles of wood; charcoal,2009,2.362767
Import,Wood & articles of wood; charcoal,2010,2.757714
Import,Wood & articles of wood; charcoal,2011,3.487898
Import,Wood & articles of wood; charcoal,2012,2.908866
Import,Wood & articles of wood; charcoal,2013,2.82686
Import,Wood & articles of wood; charcoal,2014,3.162337
Import,Wood & articles of wood; charcoal,2015,3.12594
Import,Wood & articles of wood; charcoal,2016,3.680961
Import,Wood & articles of wood; charcoal,2017,4.471862
Import,Wood & articles of wood; charcoal,2018,4.692095
Import,Wood & articles of wood; charcoal,2019,4.279737
Import,Wood & articles of wood; charcoal,2020,3.709335
Import,Wood & articles of wood; charcoal,2021,4.053764
Import,Wood & articles of wood; charcoal,2022,3.597636
Import,Wood & articles of wood; charcoal,2023,3.150922
Import,Wood & articles of wood; charcoal,2024,3.164821
Import,Wood & articles of wood; charcoal,2025,1.505323399
Import,Other,2009,7.58505
Import,Other,2010,8.454943
Import,Other,2011,10.07715
