name,Export,Import
2009,-17.513771000000002,21.282951999999998
2010,-29.612074,25.913994
2011,-38.903018,40.3626
2012,-44.056551,44.138279000000004
2013,-49.591172,39.667828
2014,-53.676944,41.593505
2015,-34.809906,33.216612
2016,-37.506059,32.13114
2017,-43.149783,41.351921000000004
2018,-48.005203,58.887066
2019,-49.748487000000004,61.190632
2020,-50.504392,57.114667
2021,-67.550055,78.142344
2022,-76.122649,114.148971
2023,-111.057216,128.484735
2024,-115.503072,129.070643
2025,-47.160410749,59.328231942
