dir,name,Mineral fuels & oil,Raw metals,Copper & articles thereof,Aluminium & articles thereof,Wood & articles of wood; charcoal,Other
Import,2009,9.386241,1.059343,0.254251,0.6353,2.362767,7.58505
Import,2010,12.848398,1.214255,0.415827,0.222857,2.757714,8.454943
Import,2011,22.922651,3.348218,0.240437,0.286246,3.487898,10.07715
Import,2012,29.522428,2.474927,0.388777,0.387437,2.908866,8.455844
Import,2013,26.880079,2.102158,0.178966,0.244996,2.82686,7.434769
Import,2014,29.719175,1.205244,0.174179,0.154993,3.162337,7.177577
Import,2015,20.222797,0.906234,0.647748,0.047617,3.12594,8.266276
Import,2016,18.914638,0.88188,0.447295,0.053369,3.680961,8.152997
Import,2017,27.282395,1.255853,0.427525,0.070306,4.471862,7.84398
Import,2018,42.112072,1.542583,1.659891,0.16778,4.692095,8.712645
Import,2019,42.755153,2.233209,1.651919,0.085234,4.279737,10.18538
Import,2020,33.224576,3.525425,2.798791,0.78267,3.709335,13.07387
Import,2021,52.377137,4.263146,3.913717,0.811632,4.053764,12.722948
Import,2022,85.378138,3.640316,2.944393,1.374888,3.597636,17.2136
Import,2023,94.035767,4.405595,3.214646,2.866654,3.150922,20.811151
Import,2024,94.823797,5.467078,3.000931,3.579939,3.164821,19.034077
Import,2025,38.96671698,3.665387014,2.666388536,3.101757591,1.505323399,9.422658422
