name,type,Australia,Brazil,Indonesia,Iraq,Malaysia,Mongolia,Oman,Other,Qatar,Russia,Saudi Arabia,Turkmenistan,United Arab Emirates,United States
2015,Coal,5304990737,0,3392058792,0,0,536635727,0,1834391961,0,1046666525,0,0,0,0
2015,Gas,1743168577,0,0,0,0,0,0,7957351673,3274893172,111692087,0,7681100893,2535219257,1591339231
2015,Oil,0,5292.089913,0,12672.935919,501.374299,0,13943.458123,70973.51538099998,0,18845.946285,20859.368925,0,5494.335093,0
2016,Coal,5583630582,0,4354518476,0,0,994250143,0,2089488987,0,1130039811,0,0,0,0
2016,Gas,3901629703,0,0,0,0,0,0,6944997596,2863467784,84845173,0,5480838516,2337066972,1389274511
2016,Oil,0,6037.573971,0,10660.389057,1281.33306,0,11167.124363,60959.062619,0,17628.171119,15888.681939,0,4195.781007,0
2017,Coal,9872103432,0,6086935554,0,0,2212273046,0,2133217483,0,2358257245,0,0,0,0
2017,Gas,6379463087,0,0,0,0,0,0,9410426935,4777542662,176857785,0,6526055584,3238518073,2498672035
2017,Oil,0,9183.547805,0,13812.852179,3392.485043,0,12374.603703,89452.1435,0,24706.075894,20774.530862,0,4628.970721,0
2018,Coal,10676950099,0,7376731230,0,0,2830486546,0,1305004059,0,2572283566,0,0,0,0
2018,Gas,11572738371,0,0,0,0,0,0,17580002016,6931830511,403055292,0,7961877402,3587697702,2035608713
2018,Oil,0,16465.430521,0,22493.090899,7307.212889,0,17415.729109,119872.128093,0,39128.778733,29902.076177,0,7938.384807,0
2019,Coal,9338617174,0,6812747424,0,0,3076369120,0,1468157488,0,2698581238,0,0,0,0
2019,Gas,13647702332,0,0,0,0,0,0,20006537832,6408192266,1145875419,0,8614452863,2195242478,115049725
2019,Oil,0,19186.953019,0,23925.905702,8526.529589,0,16578.833485,103912.78824699996,0,38672.413527,40260.921993,0,8396.423881,0
2020,Coal,7855857037,0,6410168132,0,0,2004477941,0,1318553433,0,2697479716,0,0,0,0
2020,Gas,10787409466,0,0,0,0,0,0,13462473783,4771096509,2383991877,0,6001819543,1517218221,3042212935
2020,Oil,0,14298.780541,0,19244.131683,6478.676936,0,12924.831882,70135.42497899997,0,28395.659978,28279.107965,0,10511.425416,0
2021,Coal,1071646878,0,17954986617,0,0,2012087387,0,7857787063,0,7266575884,0,0,0,0
2021,Gas,17157423666,0,0,0,0,0,0,21961681940,6752448439,4304187499,0,6791692085,3297310485,11788331074
2021,Oil,0,15500.374671,0,26556.983395,12959.496186,0,22461.710984,93987.515607,0,41866.20265,44029.409107,0,17878.719429,0
2022,Coal,350226393,0,18925412966,0,0,5051271658,0,6152895576,0,12206811372,0,0,0,0
2022,Gas,16444391193,0,0,0,0,0,0,24846852536,14134971224,10994532647,0,10256092371,4693729828,9385477369
2022,Oil,0,18623.497137,0,39297.470889,24142.264838,0,29396.16866,111976.23371699995,0,61820.625798,65070.440298,0,35053.948845,0
2023,Coal,6360619418,0,18295635952,0,0,8536305783,0,5408720532,0,14464141223,0,0,0,0
2023,Gas,15164023521,0,0,0,0,0,0,20471452432,12115401774,11706847889,0,9606032073,5061404681,10442408056
2023,Oil,0,22986.918411,0,35472.016003,36110.248559,0,25586.583838,94813.53536000001,0,68042.070795,53979.839086,0,28819.966659,0
2024,Coal,9531098880,0,17220391238,0,0,8395079290,0,6015347937,0,10921987278,0,0,0,0
2024,Gas,15375611405,0,0,0,0,0,0,18788260128,12240749420,13200762125,0,9573419134,4845259053,14039182861
2024,Oil,0,22012.933478,0,38210.991259,45242.374779,0,25339.786008,80348.30721900004,0,70599.293342,48094.827931,0,24678.080392,0
2025,Coal,3399328155,0,5419269749,0,0,2494727267,0,1664545074,0,4100843006,0,0,0,0
2025,Gas,5306111135,0,0,0,0,0,0,8681937979,5995797998,6722752464,0,4213251794,2465535705,4665931996
2025,Oil,0,10630.741681,0,17671.751885,20486.277437,0,10219.924089,39841.713553000016,0,27888.459255,22010.694863,0,10569.002547,0
