name,type,Diversification index (HHI)
2015,Coal,2894.425142367858
2016,Coal,2704.502919513414
2017,Coal,2846.597629239661
2018,Coal,2993.819680564542
2019,Coal,2760.412755321045
2020,Coal,2787.339569249151
2021,Coal,3040.144953221418
2022,Coal,2999.5044882866196
2023,Coal,2362.2888402210065
2024,Coal,2163.6014909927285
2025,Coal,2229.3618919374935
2015,Gas,1444.6529390815563
2016,Gas,1247.5744327078473
2017,Gas,1200.211813390015
2018,Gas,1148.7635272870252
2019,Gas,1249.2680561957143
2020,Gas,1181.188606335662
2021,Gas,1156.7755135794525
2022,Gas,1082.5055300586546
2023,Gas,1100.1097909960113
2024,Gas,1173.1809601014768
2025,Gas,1124.2527939464435
2015,Oil,775.3113346766471
2016,Oil,755.6840678584922
2017,Oil,709.3892570330852
2018,Oil,722.1538254317235
2019,Oil,802.7924979332722
2020,Oil,802.551630974073
2021,Oil,854.6779864267213
2022,Oil,942.3151781696079
2023,Oil,969.8544527381296
2024,Oil,1043.9291323132275
2025,Oil,966.0350109778253
