name,type,cat,China's share of Russia's import,Russia's share of China's export
2009,Total exports,Export,-10.252368205675708,1.4574807672271086
2010,Total exports,Export,-12.936027050225638,1.8768382187498533
2011,Total exports,Export,-12.70960456953573,2.049265471702208
2012,Total exports,Export,-13.933440153773462,2.150377477898822
2013,Total exports,Export,-15.745973754568238,2.2449528346963814
2014,Total exports,Export,-18.725683940385345,2.2916411809534156
2015,Total exports,Export,-19.634149214623733,1.525508497902437
2016,Total exports,Export,-20.578140143750257,1.7700048466041112
2017,Total exports,Export,-19.011529438091486,1.8993686186126113
2018,Total exports,Export,-20.15743264131899,1.924650062220901
2019,Total exports,Export,-20.40707775406515,1.991266262303586
2020,Total exports,Export,-21.800332920407627,1.951180085294868
2021,Total exports,Export,-23.015219824710233,2.009333344895344
2022,Total exports,Export,-38.178512872584704,2.1182830110445328
2023,Total exports,Export,-50.74738246426986,3.2772650695700962
2024,Total exports,Export,-56.537507514577165,3.2304416073853535
2009,Machines,Export,-9.328553597145975,1.0871103103616002
2010,Machines,Export,-13.22629590696317,1.578825417362472
2011,Machines,Export,-13.995889696124554,2.0442926912438004
2012,Machines,Export,-14.711975811834185,2.262885322002034
2013,Machines,Export,-14.10462565297291,2.0969918723601473
2014,Machines,Export,-15.140534317497728,1.9681541114160528
2015,Machines,Export,-15.687712720150316,1.4360979424983817
2016,Machines,Export,-21.973333622918446,2.253443796967428
2017,Machines,Export,-19.2003205289213,2.270770332279125
2018,Machines,Export,-20.441375541379664,2.0729386542368102
2019,Machines,Export,-21.52491361026497,2.233665336759227
2020,Machines,Export,-23.60892049725306,2.314255649481393
2021,Machines,Export,-27.038635914323212,2.6852206606265017
2022,Machines,Export,-47.989063753624464,3.058315281649256
2023,Machines,Export,-63.31410154694053,4.933091836079003
2024,Machines,Export,-73.84890386000362,4.807202994731929
2009,Vehicles,Export,-2.6431057947765657,1.3400602235156984
2010,Vehicles,Export,-4.274731328077486,2.5246157595551555
2011,Vehicles,Export,-5.609438783541843,4.287008059940922
2012,Vehicles,Export,-6.381379864898884,5.164296565592159
2013,Vehicles,Export,-6.57692921355306,4.514982249114147
2014,Vehicles,Export,-7.512980934482181,3.6780888198322446
2015,Vehicles,Export,-7.597289886053245,1.8102511830616654
2016,Vehicles,Export,-8.044176636199838,2.082018815707571
2017,Vehicles,Export,-7.705043849749872,2.4453735246678074
2018,Vehicles,Export,-7.464381002597465,2.34816957729733
2019,Vehicles,Export,-9.088510167088376,2.903439943468175
2020,Vehicles,Export,-11.531726759150507,2.7858335002319086
2021,Vehicles,Export,-15.986390075780871,3.568148116826593
2022,Vehicles,Export,-43.06165558505091,4.190932578890839
2023,Vehicles,Export,-79.27869552916707,11.681527569724247
2024,Vehicles,Export,-87.11037584883537,11.795938109336685
2009,Electric machines,Export,-13.746785552371655,1.219265591238281
2010,Electric machines,Export,-17.214444909369654,1.2147522964756403
2011,Electric machines,Export,-17.22488364543541,1.3826371426640827
2012,Electric machines,Export,-16.69397882749829,0.855629351106422
2013,Electric machines,Export,-19.180714094240063,0.9786392751038153
2014,Electric machines,Export,-23.39580749935989,1.2424498591189752
2015,Electric machines,Export,-24.928575668391723,1.4047959568675672
2016,Electric machines,Export,-25.351158729991173,1.4129142373860382
2017,Electric machines,Export,-27.841597656236118,1.50771501857731
2018,Electric machines,Export,-31.204332800669487,1.567861074218042
2019,Electric machines,Export,-31.82565615964597,1.3962520973281856
2020,Electric machines,Export,-35.43086699577766,1.9016725737503692
2021,Electric machines,Export,-38.25389448612672,1.7204102747496235
2022,Electric machines,Export,-58.20988560223279,13.746785552371655
2023,Electric machines,Export,-66.63558124566545,17.214444909369654
2024,Electric machines,Export,-77.72372714450553,17.22488364543541
