name,Total trade,Machinery,Electric machinery,Vehicles
2010,13.064133019999998,5.7471264369999995,10.204081630000001,25
2011,13.38083927,6.896551724,14.285714290000001,18.75
2012,15.12272367,6.896551724,16.32653061,18.75
2013,15.360253369999999,5.7471264369999995,16.32653061,18.75
2014,17.57719715,6.896551724,22.44897959,18.75
2015,18.05225653,8.045977011,26.53061224,18.75
2016,18.76484561,8.045977011,36.73469388,25
2017,18.36896279,9.195402299,34.69387755,25
2018,18.44813935,10.34482759,38.7755102,31.25
2019,18.21060966,12.643678159999999,40.816326530000005,25
2020,19.23990499,16.09195402,46.93877551,25
2021,20.50673001,20.689655169999998,48.97959184,25
2022,23.83214568,29.88505747,55.10204082,25
2023,40.38004751,70.11494253000001,85.71428571,62.5
