type,name,model,level,value
Turbofan,2009,D-30,★★☆☆☆,149.58333333333331
Turbofan,2010,D-30,★★☆☆☆,149.58333333333331
Turbofan,2011,D-30,★★☆☆☆,248.70833333333331
Turbofan,2012,D-30,★★☆☆☆,266.1765873015873
Turbofan,2013,D-30,★★☆☆☆,224.9265873015873
Turbofan,2014,D-30,★★☆☆☆,224.9265873015873
Turbofan,2015,D-30,★★☆☆☆,259.0515873015873
Turbofan,2016,D-30,★★☆☆☆,269.88492063492066
Turbofan,2017,D-30,★★☆☆☆,462.4474206349207
Turbofan,2018,D-30,★★☆☆☆,488.8244047619048
Turbofan,2019,D-30,★★☆☆☆,399.13392857142856
Turbofan,2020,D-30,★★☆☆☆,399.13392857142856
Turbofan,2021,D-30,★★☆☆☆,253.515873015873
Turbofan,2022,D-30,★★☆☆☆,253.515873015873
Turbofan,2023,D-30,★★☆☆☆,253.515873015873
Turbofan,2024,D-30,★★☆☆☆,206.57142857142858
Turbofan,2003,AL-31,★★★☆☆,58.5
Turbofan,2004,AL-31,★★★☆☆,58.5
Turbofan,2005,AL-31,★★★☆☆,58.5
Turbofan,2006,AL-31,★★★☆☆,108.33333333333333
Turbofan,2007,AL-31,★★★☆☆,108.33333333333333
Turbofan,2008,AL-31,★★★☆☆,108.33333333333333
Turbofan,2009,AL-31,★★★☆☆,149.58333333333331
Turbofan,2010,AL-31,★★★☆☆,149.58333333333331
Turbofan,2011,AL-31,★★★☆☆,248.70833333333331
Turbofan,2012,AL-31,★★★☆☆,266.1765873015873
Turbofan,2013,AL-31,★★★☆☆,224.9265873015873
Turbofan,2014,AL-31,★★★☆☆,224.9265873015873
Turbofan,2015,AL-31,★★★☆☆,259.0515873015873
Turbofan,2016,AL-31,★★★☆☆,269.88492063492066
Turbofan,2017,AL-31,★★★☆☆,462.4474206349207
Turbofan,2018,AL-31,★★★☆☆,488.8244047619048
Turbofan,2019,AL-31,★★★☆☆,399.13392857142856
Turbofan,2020,AL-31,★★★☆☆,399.13392857142856
Turbofan,2021,AL-31,★★★☆☆,253.515873015873
Turbofan,2022,AL-31,★★★☆☆,253.515873015873
Turbofan,2023,AL-31,★★★☆☆,253.515873015873
Turbofan,2016,AL-41F-1S,★★★★★,269.88492063492066
Turbofan,2017,AL-41F-1S,★★★★★,462.4474206349207
Turbofan,2018,AL-41F-1S,★★★★★,488.8244047619048
